id,topic,type,question,option1,option2,option3,option4,correct_option,correct_option_number
27667748,Anxiety,Prognostic,How does the interaction between pain intensity and experiential avoidance relate to the severity of anxiety symptoms among economically disadvantaged Latinos?,Indicating lower anxiety levels,Suggesting increased anxiety symptoms,Proposing no relationship,Reflecting better coping mechanisms,Suggesting increased anxiety symptoms,2
34518795,Anxiety,Prognostic,What has been suggested to improve the mental well-being of individuals experiencing psychological stress due to COVID-19?,Isolation measures,Increased medication,Avoidance strategies,Coping strategies,Coping strategies,4
34346493,Anxiety,Prognostic,How might chronic stress exposure impact the anxiety-related behaviors in individuals experiencing stress-related disorders?,Decrease in anxiety-like behaviors,No impact on anxiety,Increase in cognitive function,Increase in anxiety-like behaviors,Increase in anxiety-like behaviors,4
32180026,Anxiety,Prognostic,How might higher levels of GAD literacy affect adolescents' future intentions to seek help for anxiety disorders?,Increase help-seeking intentions,Decrease help-seeking intentions,Worsen their anxiety symptoms,Have no effect,Increase help-seeking intentions,1
21782853,Anxiety,Prognostic,"How does aging impact the reactivity of the fear/anxiety circuit in Lewis rats, particularly in relation to anxiety levels?",Decreased anxiety levels,No impact on anxiety levels,Increased neuronal activation,Increased anxiety and enhanced reactivity,Increased anxiety and enhanced reactivity,4
21848717,Anxiety,Preventive,What strategies could enhance reflective learning and reduce anxiety levels in occupational therapy education?,Eliminating self-evaluation,Promoting current critical incident analysis,Focusing solely on past incidents,Minimizing group discussions,Promoting current critical incident analysis,2
33067166,Anxiety,Preventive,Which of the following factors is suggested to help promote mental health resilience in adolescents?,Engagement in physical activity,Sedentary lifestyle,Social isolation,High academic pressure,Engagement in physical activity,1
23459637,Anxiety,Diagnostic,"In patients with borderline personality disorder, how does trait anxiety influence cognitive performance during emotional interference tasks?",it enhances emotional regulation,it improves overall memory,it decreases amygdala activation,it correlates with longer reaction times,it correlates with longer reaction times,4
23121339,Anxiety,Prognostic,What is likely to happen to individuals who engage in both forced and voluntary wheel running in terms of their anxiety-related responses to stress?,Worsened stress perception,Unchanged anxiety levels,Increased anxiety,Reduced anxiety-related responses,Reduced anxiety-related responses,4
34668126,Anxiety,Diagnostic,How are emotional and behavioral problems associated with the severity of autism spectrum disorder symptoms?,Inversely correlated,No correlation,Positively correlated,Negatively correlated,Positively correlated,3
34426796,Anxiety,Prognostic,How does the fear of COVID-19 correlate with symptoms of depression and anxiety among adults during the pandemic?,Positively correlated,Negatively correlated,Unpredictable correlation,No correlation,Positively correlated,1
22250896,Anxiety,Prognostic,How does the frequency of perceived discrimination relate to psychological distress when events are rated with low stress?,It reduces distress,It has no relationship,It predicts greater distress,It only affects depression,It predicts greater distress,3
34937473,Anxiety,Factoid,What patient-reported outcome measure showed significant improvement after treatment with cannabis for generalized anxiety disorder?,Visual Analog Scale,Sleep Quality Index,General Anxiety Disorder Scale,Quality of Life Scale,General Anxiety Disorder Scale,3
23227331,Anxiety,Diagnostic,Which psychiatric condition is linked to the sensory dimension of pain experience in patients with breast cancer?,Depression,Insomnia,Stress,Anxiety,Anxiety,4
21773789,Anxiety,Diagnostic,Which psychological condition remained elevated in a significant subgroup of patients after ICD implantation?,Vital exhaustion,Generalized anxiety disorder,Mania,Post-traumatic stress disorder,Post-traumatic stress disorder,4
23110820,Anxiety,Prognostic,How is the craving for methamphetamine expected to be influenced by negative mood states during detoxification in female users?,Temporarily reduced,Decreased,Unchanged,Increased,Increased,4
34978279,Anxiety,Prognostic,How does the incidence of insomnia compare between patients with sudden sensorineural hearing loss and those without this condition?,Higher in SSNHL patients,Higher in non-SSNHL patients,Lower in SSNHL patients,The same,Higher in SSNHL patients,1
22286854,Anxiety,Prognostic,How might heightened morning cortisol levels in IBS patients indicate potential psychosocial vulnerabilities?,Demonstrate improved emotional stability,Suggest lower stress susceptibility,Increase resilience to stress,Indicate potential for increased stress responses,Indicate potential for increased stress responses,4
34010760,Anxiety,Prognostic,How may perceived distress tolerance influence future substance use patterns in adolescents?,Have no effect over time,Act as a protective factor,Increase likelihood of substance use,Enhance craving for substances,Act as a protective factor,2
36777316,Anxiety,Prognostic,"What is a potential risk associated with the concurrent use of gabapentin, opioids, and benzodiazepines in patients with mental health conditions?",Enhanced mental clarity,Increased odds of respiratory depression,Improved pain management,Reduced anxiety levels,Increased odds of respiratory depression,2
32567103,Anxiety,Preventive,"Which therapeutic approach shows promise in preventing nightmares, thereby potentially reducing related anxiety levels?",Exposure therapy,Cognitive restructuring,Positive reinforcement therapy,Imagery rehearsal therapy,Imagery rehearsal therapy,4
35209780,Anxiety,Diagnostic,What underlying factors were identified as barriers to mental health help-seeking behaviors among adolescents in Oman?,Access to healthcare facilities,Fear and lack of family support,Cultural stigma,Age and gender,Fear and lack of family support,2
36314294,Anxiety,Preventive,Which factor is identified as a critical mechanism to cope with mental health challenges faced by anaesthetists during the COVID-19 pandemic?,Access to personal protective equipment,Increased workload,Support from family and colleagues,Job dissatisfaction,Support from family and colleagues,3
31131742,Anxiety,Preventive,What therapeutic approach has shown promise in reducing suicide risk among older adults with anxiety disorders?,Mindfulness Meditation,Exposure Therapy,Problem-Solving Therapy,Cognitive Behavioral Therapy,Problem-Solving Therapy,3
35911212,Anxiety,Preventive,How do empathic abilities affect social behavior during acute stress in patients with social anxiety disorder?,They buffer negative effects,They increase stress response,They have no impact,They worsen anxiety,They buffer negative effects,1
28920038,Anxiety,Diagnostic,What premedication is reported to reduce preoperative anxiety with minimal cognitive impairment in elective surgery patients?,Diazepam,Ibuprofen,Ketamine,Melatonin,Melatonin,4
33970291,Anxiety,Prognostic,What condition is most likely reported among patients enrolled in the UK's first medical cannabis registry?,Obsessive-compulsive disorder,Bipolar disorder,Chronic pain,Schizophrenia,Chronic pain,3
35430271,Anxiety,Diagnostic,What long-term neuropsychiatric conditions are associated with COVID-19 infection?,Increased IQ,Autism spectrum disorder,Depression and anxiety,Schizophrenia,Depression and anxiety,3
11068140,Anxiety,Diagnostic,What factor appears to contribute to the anxiety observed in rats after excitotoxic lesions in the magnocellular nucleus basalis?,Enhanced cognitive function,Neurotransmitter imbalance,Increased cholinergic activity,Decreased serotonin levels,Neurotransmitter imbalance,2
35073805,Anxiety,Diagnostic,Which cognitive technique has been shown to reduce self-reported anxiety in imagined scenarios?,Focusing on past experiences,Increased specificity of prompts,Ignoring emotional content,Imagining negative scenarios,Increased specificity of prompts,2
35658570,Anxiety,Factoid,Which cognitive weakness is linked to higher anxiety symptoms when coupled with lower word reading scores?,Auditory Processing,Visual Perception,Processing Speed,Memory,Processing Speed,3
34020203,Anxiety,Preventive,What evidence-based strategy might help improve the mental wellbeing of parents and carers of children with developmental and epileptic encephalopathies?,Mindfulness Training,Cognitive Behavioral Therapy,Medication,Physical Activity,Mindfulness Training,1
22437546,Anxiety,Factoid,"Among children and adolescents, which symptom was identified as a more significant predictor of self-perceived quality of life?",Behavioral symptoms,Social symptoms,Depressive symptoms,Anxiety symptoms,Depressive symptoms,3
35777308,Anxiety,Diagnostic,What did the negative urgency subscale of the UPPS-P predict in relation to response inhibition?,Enhanced cognitive control under threat,Improved reaction times during stress,Impaired response inhibition under threatening conditions,No effect on response inhibition,Impaired response inhibition under threatening conditions,3
21593661,Anxiety,Factoid,Which medication has been noted for its significant impact on reducing anxiety and stress scores compared to efavirenz?,Rilpivirine,Raltegravir,Efavirenz,Atripla,Raltegravir,2
20937300,Anxiety,Preventive,"Which neuropeptide has been shown to reduce anxiety-like behavior in alcohol-preferring rats, thereby potentially serving as a preventive measure for alcohol intake?",Substance P,Neuropeptide Y,Oxytocin,Corticotropin-releasing hormone,Neuropeptide Y,2
35754367,Anxiety,Diagnostic,What factor does sleep reactivity level potentially affect regarding cognitive-behavioral therapy for insomnia treatment outcomes?,Sleep efficiency,Sleep onset latency,Sleep duration,Sleep quantity,Sleep efficiency,1
35870439,Anxiety,Diagnostic,What behavioral indicator might suggest a relationship between social media usage and psychological distress?,Elevated social media engagement,Lower communication skills,Reduced physical activity,Increased sleep quality,Elevated social media engagement,1
28810456,Anxiety,Diagnostic,Which psychological factors primarily contribute to preoperative anxiety identified in patients awaiting surgery?,Length of hospital stay,Nutritional concerns,Cost of surgery,Surgical procedures,Surgical procedures,4
22716144,Anxiety,Diagnostic,What factors have been suggested to motivate psychotic patients to use cannabis despite its adverse effects on their recovery?,To cope with physical pain,To obtain relief from depression,To enhance cognitive function,To reduce sleep disturbances,To obtain relief from depression,2
36128679,Anxiety,Prognostic,How might the presence of cognitive impairment and longer duration of psychiatric disorders affect neuroimaging outcomes in patients?,Worsening diagnostic clarity,Increased likelihood of abnormalities,Decreased need for follow-up,Improved treatment efficacy,Increased likelihood of abnormalities,2
28223059,Anxiety,Diagnostic,What condition has been proposed to describe ongoing mental health morbidity associated with fear of terrorism?,Post-traumatic stress syndrome,Anticipatory anxiety disorder,Chronic anxiety syndrome,Pre-traumatic stress syndrome,Pre-traumatic stress syndrome,4
33610705,Anxiety,Diagnostic,What factor is associated with the presence of adverse reactions when using drug-herb combinations for treating anxiety and depression?,Gender,Unemployment,Age,Education level,Unemployment,2
34389427,Anxiety,Diagnostic,What type of stimuli sensitivity is heightened by adolescent exposure to delta-9-tetrahydrocannabinol and ethanol in rodent models?,Pain stimuli,Reward stimuli,Fear stimuli,Cognitive stimuli,Fear stimuli,3
24659554,Anxiety,Diagnostic,Which neuropeptide systems are involved in regulating stress responses and associated depressive effects?,Dopamine and serotonin,GABA and glutamate,Corticotropin-releasing factor and arginine vasopressin,Norepinephrine and acetylcholine,Corticotropin-releasing factor and arginine vasopressin,3
31621951,Anxiety,Diagnostic,Which specific method of nonsuicidal self-injury was shown to have significant associations with severity of suicide attempts in patients with substance use disorders?,Burning,Minor tissue damage,Blunt force,Cutting,Cutting,4
36394284,Anxiety,Preventive,What intervention could potentially improve Australian farmers' well-being by enhancing their sense of control over daily stressors?,Enhancing internal locus of control,Increasing agricultural training sessions,Promoting external locus of control,Reducing daily stressors,Enhancing internal locus of control,1
22331304,Anxiety,Diagnostic,Which brain structures are indicated to be associated with anxiety disorders due to anti-amphiphysin antibodies in stiff person syndrome?,Amygdala,Cortex,Thalamus,Hippocampus,Amygdala,1
34628737,Anxiety,Prognostic,How does acupuncture affect the frequency of migraine attacks based on reported outcomes in patients?,Decreases frequency,Varies by individual,No effect on frequency,Increases frequency,Decreases frequency,1
36712296,Anxiety,Diagnostic,What primary risk factor is associated with increased psychological distress among women during pregnancy?,Low maternal age,Previous childbirth experience,High-risk pregnancy,Dietary habits,High-risk pregnancy,3
35162757,Depression,Diagnostic,Which endocrine-disrupting compound was identified as having significant serum concentration differences between patients with major depressive disorder and healthy controls?,Bisphenol S,Di-ethyl-hexyl-phthalate,Butyl-benzyl-phthalate,Di-n-butyl phthalate,Di-n-butyl phthalate,1
23182839,Anxiety,Diagnostic,"Among individuals diagnosed with cannabis use disorder, which psychiatric disorders are more prevalent in women compared to men?",Personality disorders,Substance use disorders,Mood and anxiety disorders,Psychotic disorders,Mood and anxiety disorders,3
36788002,Anxiety,Diagnostic,Which therapeutic process is identified as the strongest predictor of emotional distress in relation to repetitive negative thinking?,Cognitive fusion,Evidence-based practices,Positive thinking,Self-reinforcement,Cognitive fusion,1
33900980,Anxiety,Prognostic,What is likely to be worse for patients experiencing both anxiety and depression when undergoing lumbar fusion surgery?,Patient-reported outcomes,Post-surgery mobility,Surgical recovery time,Infection rates,Patient-reported outcomes,1
33660202,Anxiety,Diagnostic,What neurotransmitter receptor's increased expression is associated with anxiety-like behavior in the context of sleep apnea?,N-Methyl-D-Aspartate receptor,Serotonin receptor,Norepinephrine receptor,Dopamine receptor,N-Methyl-D-Aspartate receptor,1
34998257,Anxiety,Preventive,How might psychological resilience impact substance misuse during stressful events like the COVID-19 pandemic?,Increase risk of substance misuse,Have no effect on substance misuse,Worsen anxiety levels,Serve as a buffer against substance misuse,Serve as a buffer against substance misuse,4
36716082,Anxiety,Factoid,Which mental health symptoms were searched more frequently in shortage areas compared to nonshortage areas?,Analytical thinking,Obsessive thoughts,Binge eating,Anxiety,Anxiety,4
25714563,Anxiety,Factoid,What behavioral characteristics were associated with the 3q29 microdeletion syndrome in the reported case?,Obsessive Compulsive Tendencies,Bipolar Disorder,Eating Disorder,Schizophrenia,Obsessive Compulsive Tendencies,1
34378244,Anxiety,Prognostic,What type of living environment may contribute to a reduced risk of negative emotional experiences during a crisis?,Isolated regions,Urban areas,Suburban areas,Rural areas,Rural areas,4
36183067,Anxiety,Preventive,What factors could be addressed to improve resilience during situations of pandemic-related stress for individuals with chronic medical conditions?,Decreasing social interactions,Providing medication for anxiety,"Enhancing social support, and trust in government",Increasing financial support,"Enhancing social support, and trust in government",3
35818014,Anxiety,Prognostic,Which factor significantly predicts increased binge drinking among middle-aged and older adults during the COVID-19 pandemic?,Older age,Positive screen for depression,Living alone,Higher education,Positive screen for depression,2
37706034,Anxiety,Diagnostic,Which thyroid antibody is identified as a predictor of anxiety symptoms specifically in female patients with major depressive disorder?,Free thyroxine (FT4),Thyroid peroxidase antibody (A-TPO),Thyroid-stimulating hormone (TSH),Anti-thyroglobulin antibody (A-TG),Anti-thyroglobulin antibody (A-TG),4
33668655,Anxiety,Prognostic,How does fear of COVID-19 potentially influence the levels of anxiety among individuals with pre-existing health conditions?,It eliminates anxiety completely,It might reduce anxiety levels,It has no impact on anxiety,It may exacerbate anxiety levels,It may exacerbate anxiety levels,4
22011359,Anxiety,Diagnostic,What early childhood disorder is significantly associated with increased smoking behavior at age 17?,Externalizing disorders,Internalizing disorders,Learning disabilities,Sociopathic tendencies,Externalizing disorders,1
22955043,Anxiety,Preventive,What strategies can be implemented to effectively address the long-term anxiety experienced by residents following a major disaster?,Reducing access to healthcare resources,Increasing external radiation exposure,Implementing regular mental health check-ups,Limiting communication about the disaster,Implementing regular mental health check-ups,3
36186257,Anxiety,Preventive,What intervention was established to reduce anxiety among families of hospitalized COVID-19 patients?,Telemedicine consultations,Daily briefings,Family meetings,Communication team,Communication team,4
33993507,Anxiety,Preventive,What therapeutic approach has shown effectiveness in reducing anxiety and depression associated with supragastric belching?,Dietary modifications,Cognitive-behavioral therapy,Behavioral therapy,Medication management,Cognitive-behavioral therapy,2
23039942,Anxiety,Diagnostic,Which maternal personality trait is associated with a higher risk of complications during childbirth?,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Neuroticism,4
33204865,Anxiety,Factoid,What psychological effect was commonly reported by women undergoing IVF when participating in acupuncture treatment?,Improved sleeping patterns,Increased fertility,Decreased anxiety levels,Reduced psychological stress,Reduced psychological stress,4
34785531,Anxiety,Preventive,What coping strategies are important for adolescents to mitigate distress during a pandemic?,Overeating,Increased screen time,Physical activity,Social distancing,Physical activity,3
34665890,Anxiety,Factoid,What autonomic measure significantly decreased following higher doses of oral THC among participants?,Heart rate,Blood pressure,High frequency heart rate variability,Pre-ejection period,High frequency heart rate variability,3
22306090,Anxiety,Diagnostic,What olfactory performance deficit was identified in patients diagnosed with anxiety disorders?,Olfactory memory,Olfactory discrimination,Olfactory identification,Olfactory threshold,Olfactory discrimination,2
32268841,Anxiety,Diagnostic,Which psychological trait is associated with impaired memory for emotional stimuli in individuals?,Depression,Empathy,Anxiety,Alexithymia,Alexithymia,4
34965401,Depression,Diagnostic,What factor is associated with neurocognitive impairments in patients with major depressive disorder and type 2 diabetes?,Sleep disorders,Genetic predisposition,Childhood trauma,Vascular dysfunction,Vascular Dysfunction,4
35667641,Anxiety,Factoid,Which neuropsychiatric disorders are mentioned as being assessed through behavioral tests in rodent studies?,"Bipolar disorder, autism spectrum disorder, anxiety","Obsessive-compulsive disorder, Tourette syndrome, depression","Post-traumatic stress disorder, depression, schizophrenia","Anxiety, depression, obsessive-compulsive disorder","Anxiety, depression, obsessive-compulsive disorder",4
34628483,Anxiety,Prognostic,What correlation was observed between polygenic risk scores for schizophrenia and cognitive performance in UHR individuals?,No correlation,Negative correlation with IQ,Positive correlation with memory,Inverse correlation with processing speed,Negative correlation with IQ,2
36434908,Anxiety,Prognostic,Which demographic factor was associated with higher odds of experiencing anxiety as a long COVID symptom?,Hospitalization,Non-healthcare worker status,Younger age,Male sex,Hospitalization,1
32893458,Anxiety,Preventive,What approach can improve educators' capacity to identify early symptoms of mental illness among students?,Go-To Educator Training,Standardized testing,Increased classroom sizes,Zero tolerance policies,Go-To Educator Training,1
21324316,Anxiety,Preventive,"What behavioral characteristic in rodents is negatively correlated with anxiety levels, as evidenced by sucrose consumption?",Improved memory function,Enhanced locomotion,Increased social interactions,Higher sucrose consumption,Higher sucrose consumption,4
11195533,Anxiety,Preventive,Which psychological trait is suggested to contribute to the development of functional dysphagia under stress?,Panic disorder tendencies,High anxiety levels,Obsessive traits,Dysthymic reactions,High anxiety levels,2
24730708,Anxiety,Preventive,What pharmacological intervention may help reduce mouth fixation associated with social communication deficits in individuals with autism spectrum disorder?,Ritalin,Propranolol,Citalopram,Sertraline,Propranolol,2
21525267,Anxiety,Preventive,Which type of drug effectively prevents anxiety-like behavior associated with repeated social defeat in mice?,Propranolol,Paroxetine,Sertraline,Citalopram,Propranolol,1
34955514,Anxiety,Diagnostic,Which gene has prior research predominantly focused on regarding its association with social anxiety disorder?,Serotonin transporter,GABA receptor,Dopamine transporter,Norepinephrine transporter,Serotonin transporter,1
23055777,Anxiety,Prognostic,How does patient perception of curability influence levels of anxiety among cancer patients?,It increases anxiety levels,It has no effect,It decreases anxiety levels,It only affects depression levels,It increases anxiety levels,1
33462861,Anxiety,Diagnostic,What psychological traits have been shown to predict increased physiological arousal during rumination related to racial discrimination?,Happiness,Boredom,Anger,Confidence,Anger,3
11199240,Anxiety,Preventive,How can the timing of information provision affect anxiety levels in patients undergoing radiotherapy?,By enhancing patient coping skills,By delivering information in a stepwise format,By increasing nurse-patient interactions,By reducing treatment duration,By delivering information in a stepwise format,2
32189525,Anxiety,Preventive,What factors should clinicians consider when addressing selective eating in children with anxiety/obsessive spectrum disorders?,Socioeconomic status,Family history of eating disorders,Rigidity and oral texture sensitivity,Gender differences in eating habits,Rigidity and oral texture sensitivity,3
